Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runaoxwszg7_GraphSage_hyper5g84k8bd,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,17.29643416404724,17.454529523849487,46928
cora_runtjnqv6k9_GraphSage_hyperwcqk5bco,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,11.217876434326172,11.374179363250732,47489
cora_runtjnqv6k9_GraphSage_hyperu09n5ypy,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,10.66578459739685,10.728909015655518,47489
cora_runaoxwszg7_GraphSage_hyper41fadhhc,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,20.583799362182617,20.65728235244751,46928
cora_runtjnqv6k9_GraphSage_hyper77bqfbtl,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,14.216005563735962,14.290703773498535,47489
cora_runtjnqv6k9_GraphSage_hyperos62lwgm,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,5.03889799118042,5.176470994949341,47489
cora_runaoxwszg7_GraphSage_hyper8gornqyq,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,22.604180812835693,22.740508556365967,46928
cora_runtjnqv6k9_GraphSage_hyperjdy0byqq,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,3.5012006759643555,3.5582151412963867,47489
cora_runtjnqv6k9_GraphSage_hyper6nernspi,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,7.22461199760437,7.289221525192261,47489
cora_runaoxwszg7_GraphSage_hyperxychnk26,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,9.03676176071167,9.156288623809814,46928
cora_runtjnqv6k9_GraphSage_hyper187iemdy,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.343491315841675,6.405769109725952,47489
cora_runaoxwszg7_GraphSage_hyperq5oux769,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,11.120073318481444,11.181477308273315,46928
cora_runtjnqv6k9_GraphSage_hyperd7nx1w29,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,13.848762273788452,13.929789781570436,47489
cora_runaoxwszg7_GraphSage_hyperelam1x8u,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,11.652969121932983,11.798819541931152,46928
cora_runaoxwszg7_GraphSage_hypertwvf07xm,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,13.421626806259155,13.481802701950071,46928
