Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_run1vcone99_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,92.31,95.79,80.82,256,256,32,0.1,128,5,8,50
cora_runiuqldwph_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,92.31,95.79,80.82,256,256,32,0.1,128,10,6,50
cora_runp91tl5x9_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.2,95.79,80.82,256,256,32,0.1,128,10,7,50
cora_run29ijwymt_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,10,8,50
cora_runrfhm4q55_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,20,6,50
cora_runl4ue24xw_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,20,7,50
cora_runnc9mfj5x_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,20,8,50
cora_runlckkvwil_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,30,6,50
cora_runys90joi0_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,30,7,50
cora_runxg105tbm_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,30,8,50
cora_run3z2mjwus_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,40,6,50
cora_run23im7tsk_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,40,7,50
cora_runrl9ih36t_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,93.74,95.79,80.82,256,256,32,0.1,128,40,8,50
cora_run20ng5bff_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,80.82,256,256,32,0.01,32,5,6,50
cora_runh2f3ogxw_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,5,7,50
cora_runhzxpuxqt_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,5,8,50
cora_runmrnnnpss_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,10,6,50
cora_run83ul86vq_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,10,7,50
cora_run8ddk01ii_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,10,8,50
cora_run1rgaayrp_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,20,6,50
cora_runrz4v7l4q_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,20,7,50
cora_runoq6w18kd_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,20,8,50
cora_run94fpgcec_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,30,6,50
cora_run7vj5zous_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,30,7,50
cora_runaleh5kbb_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,30,8,50
cora_run0sg8t9zo_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,40,6,50
cora_runiwuupv4p_GraphSage,55.19,59.28,71.52,79.6,89.33,95.48,59.96,55.19,59.28,71.52,79.6,89.33,95.48,93.74,95.79,82.11,256,256,32,0.01,32,40,7,50
cora_runaheftcgl_GraphSage,56.15,63.3,71.52,79.56,89.33,95.48,61.71,56.15,63.3,71.52,79.56,89.33,95.48,93.17,96.04,80.82,256,256,32,0.1,32,5,6,50
