Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_runu800x816_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,30,8,50
cora_runva9ffrs2_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,40,6,50
cora_runna83o9eh_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,40,7,50
cora_runp1nba8xr_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,40,8,50
cora_runagxja832_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,5,6,50
cora_runa54k26ke_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,5,7,50
cora_runnlmgl0df_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,5,8,50
cora_rundzm51948_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,10,6,50
cora_rund1vwmvx1_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,10,7,50
cora_run2tppcf2e_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,10,8,50
cora_runfxo471uh_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,20,6,50
cora_run8k20ymtr_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,20,7,50
cora_runzixpy9au_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,20,8,50
cora_run1j79g0vw_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,30,6,50
cora_runer9ju7d5_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,30,7,50
cora_run24513099_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,30,8,50
cora_run94m2id5b_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,40,6,50
cora_run8tvafk4a_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,40,7,50
cora_runu07pnibk_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,32,40,8,50
cora_runjaktssje_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,5,6,50
cora_runbdpkppjf_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,5,7,50
cora_run5fib3ydu_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,5,8,50
cora_runpl4p4gon_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,10,6,50
cora_runebk1q4mu_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,10,7,50
cora_runt0ne6mqy_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,10,8,50
cora_runun0iz55v_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,20,6,50
cora_runzqsvzfno_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,20,7,50
cora_run11kvvj9w_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,20,8,50
cora_runelw3454x_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,30,6,50
cora_runy83fbdae_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,30,7,50
cora_runjloevb0x_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,30,8,50
